Name,Smartphone Survey,Smartphone App,Smartphone App + Bluetooth,smartphone app + online diary,Online Diary,Online Diary + Smartphone Location History,Online Diary + Wearable GPS,Paper Travel Diary (includes telephone),Paper Travel Diary+GPS,Paper Travel Diary + Smartphone GPS,Paper Travel Diary + GPS + Smartphone GPS,Paper Travel Diary + Online Diary,Paper Travel Diary + Online Diary + GPS,Paper Travel Diary + Online Diary + Smartphone GPS,Paper Travel Diary + Online Diary + GPS + Smartphone GPS,Paper Travel Diary + Online Diary + Smartphone App,Cellphone Trace + ACS,Paper Travel diary + cellphone trace + ACS
Total Score,78.36666667,88.04,86.43111111,85.73111111,72.66666667,81.35111111,72.66444444,65.72222222,67.98888889,70.02222222,68.35555556,67.05333333,70.17555556,73.4,72.89111111,78.45555556,47.25777778,62.25555556
Trip Characteristic Data,76.5,91.1,91.8,85.3,71,91.1,85.3,70,75.5,75.5,75.5,68.8,76.8,77,77,80.5,27.7,65.5
Origin Location,80,95,95,85,75,95,85,70,75,75,75,70,77,77,77,80,23,65
Destination Location,80,95,95,85,75,95,85,70,75,75,75,70,77,77,77,80,23,65
Trip Purpose,80,89,89,85,75,89,85,70,75,75,75,73,77,77,77,80,26,70
Mode,80,95,97,85,75,95,85,80,80,80,80,75,77,77,77,85,31,75
Parking Info,75,87,87,85,75,87,85,70,75,75,75,70,77,77,77,80,3,65
Toll Info,75,85,85,85,75,85,85,70,75,75,75,70,77,77,77,80,50,65
Route Info,55,90,95,85,55,90,85,50,75,75,75,50,77,77,77,80,25,45
Departure Time,75,95,95,85,60,95,85,70,75,75,75,65,77,77,77,80,48,60
Arrival Time,85,95,95,90,75,95,90,75,80,80,80,75,82,77,77,80,48,75
Travel Party,80,85,85,83,70,85,83,75,70,70,70,70,70,77,77,80,0,70
Demographic Data,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,65,90
Survey Instrument Characteristics,80.5,86.33333333,80.22222222,86.38888889,74.66666667,77.88888889,59.38888889,41.94444444,43.94444444,49.11111111,42.44444444,47.66666667,47.27777778,61.33333333,58.78888889,66.27777778,74.22222222,36.94444444
Respondent Burden Reduction,50,90,90,85,45,95,60,40,35,55,50,45,50,55,50,55,100,40
Data Collection,,,,,,,,,,,,,,,,,,
Customizable,95,95,88.33333333,93.33333333,95,88.33333333,73.33333333,41.66666667,41.66666667,51.66666667,46.66666667,55,51.66666667,65,63.33333333,71.66666667,63.33333333,41.66666667
Language,95,95,95,95,95,95,75,30,30,50,40,50,40,75,75,80,95,30
Presentation,95,95,75,90,95,75,50,50,50,60,55,60,60,65,60,70,95,50
Branching Logic,95,95,95,95,95,95,95,45,45,45,45,55,55,55,55,65,0,45
Data Processing,95,95,95,95,95,80,80,40,50,50,50,55,55,55,55,65,85,10
Equity,78,78,78,85,68,74,68,30,37,43,38,46,42,58,54.4,66,57,30
Language,95,95,95,95,95,95,75,15,30,35,35,55,45,70,65,75,85,15
Age,55,55,55,75,55,50,55,40,40,45,40,45,40,50,45,55,45,40
Gender,95,95,95,95,95,95,95,70,75,75,75,75,75,80,77,85,35,70
Underrepresented Race/Low Income,60,60,60,70,15,45,30,10,15,30,15,15,15,25,20,45,35,10
Ability,85,85,85,90,80,85,85,15,25,30,25,40,35,65,65,70,85,15
Commercial Availability,70,65,35,65,70,40,30,90,90,75,60,65,65,60,60,65,50,90
Survey Instrument Lifecycle,95,95,95,95,75,90,45,10,10,20,10,20,20,75,70,75,90,10
Incentives,,,,,,,,,,,,,,,,,,
Administrative Features,68.33333333,81.66666667,78.33333333,81.66666667,56.66666667,56.66666667,43.33333333,56.66666667,55,60,58.33333333,60,60,61.66666667,61.66666667,75,41.66666667,53.33333333
Respondent Recruitment,90,90,90,95,80,45,40,40,45,55,45,50,50,55,55,70,100,40
Survey Completion/Respondent Compliance,,,,,,,,,,,,,,,,,,
Frequency of Capture,,,,,,,,,,,,,,,,,,
Historical Comparison,40,60,60,60,40,50,65,100,90,75,90,80,80,80,80,80,25,90
Retention/Follow Up Capacity,75,95,85,90,50,75,25,30,30,50,40,50,50,50,50,75,0,30
